method,calibration,threshold,units,rank
euclidean,episode,1.1950372457504272,556,530
euclidean,task_init,2.1294748783111572,70,68
cosine,episode,0.22920633852481842,556,530
cosine,task_init,0.33049798011779785,70,68
cosine_neighbors_euclidean_score,episode,2.247965097427368,556,530
cosine_neighbors_euclidean_score,task_init,3.413597583770752,70,68
euclidean_neighbors_cosine_score,episode,0.29423752427101135,556,530
euclidean_neighbors_cosine_score,task_init,0.45166438817977905,70,68
cosine_without_center,episode,0.1644088625907898,556,530
cosine_without_center,task_init,0.3308311402797699,70,68
norm_only,episode,5.108241558074951,556,530
norm_only,task_init,6.094091415405273,70,68
