cohort,method,extra_tp_vs_v7,extra_fp_vs_v7,lost_tp_vs_v7,lost_fp_vs_v7,earlier_tp_vs_v7
all,v7_frozen,0,0,0,0,0
all,v8_frozen,3,0,0,0,1
all,v82_frozen,6,0,0,0,2
all,knn20,16,7,1,0,26
all,c4_assigned_radius,15,6,2,0,15
all,c32_assigned_radius,14,2,3,1,18
all,c32_union_radius,14,2,1,1,18
all,norm_only,12,1,3,0,6
all,cosine_knn20,0,1,37,2,0
all,knn_euclidean_OR_cosine,16,8,1,0,26
all,knn_euclidean_AND_cosine_latched,0,0,37,2,0
primary,v7_frozen,0,0,0,0,0
primary,v8_frozen,3,0,0,0,1
primary,v82_frozen,6,0,0,0,2
primary,knn20,16,6,1,0,26
primary,c4_assigned_radius,15,5,2,0,15
primary,c32_assigned_radius,14,2,3,1,18
primary,c32_union_radius,14,2,1,1,18
primary,norm_only,12,1,3,0,6
primary,cosine_knn20,0,1,36,2,0
primary,knn_euclidean_OR_cosine,16,7,1,0,26
primary,knn_euclidean_AND_cosine_latched,0,0,36,2,0
unchanged_scene_controls,v7_frozen,0,0,0,0,0
unchanged_scene_controls,v8_frozen,0,0,0,0,0
unchanged_scene_controls,v82_frozen,0,0,0,0,0
unchanged_scene_controls,knn20,0,1,0,0,0
unchanged_scene_controls,c4_assigned_radius,0,1,0,0,0
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0
unchanged_scene_controls,c32_union_radius,0,0,0,0,0
unchanged_scene_controls,norm_only,0,0,0,0,0
unchanged_scene_controls,cosine_knn20,0,0,1,0,0
unchanged_scene_controls,knn_euclidean_OR_cosine,0,1,0,0,0
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,1,0,0
all_plus,v7_frozen,0,0,0,0,0
all_plus,v8_frozen,0,0,0,0,1
all_plus,v82_frozen,0,0,0,0,2
all_plus,knn20,8,5,0,0,9
all_plus,c4_assigned_radius,7,4,1,0,4
all_plus,c32_assigned_radius,6,2,1,0,7
all_plus,c32_union_radius,6,2,0,0,7
all_plus,norm_only,6,0,1,0,1
all_plus,cosine_knn20,0,0,12,1,0
all_plus,knn_euclidean_OR_cosine,8,5,0,0,9
all_plus,knn_euclidean_AND_cosine_latched,0,0,12,1,0
primary_plus,v7_frozen,0,0,0,0,0
primary_plus,v8_frozen,0,0,0,0,1
primary_plus,v82_frozen,0,0,0,0,2
primary_plus,knn20,8,5,0,0,9
primary_plus,c4_assigned_radius,7,4,1,0,4
primary_plus,c32_assigned_radius,6,2,1,0,7
primary_plus,c32_union_radius,6,2,0,0,7
primary_plus,norm_only,6,0,1,0,1
primary_plus,cosine_knn20,0,0,12,1,0
primary_plus,knn_euclidean_OR_cosine,8,5,0,0,9
primary_plus,knn_euclidean_AND_cosine_latched,0,0,12,1,0
all_pro,v7_frozen,0,0,0,0,0
all_pro,v8_frozen,3,0,0,0,0
all_pro,v82_frozen,6,0,0,0,0
all_pro,knn20,8,2,1,0,17
all_pro,c4_assigned_radius,8,2,1,0,11
all_pro,c32_assigned_radius,8,0,2,1,11
all_pro,c32_union_radius,8,0,1,1,11
all_pro,norm_only,6,1,2,0,5
all_pro,cosine_knn20,0,1,25,1,0
all_pro,knn_euclidean_OR_cosine,8,3,1,0,17
all_pro,knn_euclidean_AND_cosine_latched,0,0,25,1,0
primary_pro,v7_frozen,0,0,0,0,0
primary_pro,v8_frozen,3,0,0,0,0
primary_pro,v82_frozen,6,0,0,0,0
primary_pro,knn20,8,1,1,0,17
primary_pro,c4_assigned_radius,8,1,1,0,11
primary_pro,c32_assigned_radius,8,0,2,1,11
primary_pro,c32_union_radius,8,0,1,1,11
primary_pro,norm_only,6,1,2,0,5
primary_pro,cosine_knn20,0,1,24,1,0
primary_pro,knn_euclidean_OR_cosine,8,2,1,0,17
primary_pro,knn_euclidean_AND_cosine_latched,0,0,24,1,0
