cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,250,170,80,62,0,108,80,0.36470588235294116,0.0,1.0,50,19.0,
all,v8_frozen,250,170,80,126,0,44,80,0.7411764705882353,0.0,1.0,108,17.0,
all,v82_frozen,250,170,80,134,0,36,80,0.788235294117647,0.0,1.0,118,17.0,
all,knn20,250,170,80,132,0,38,80,0.7764705882352941,0.0,1.0,124,16.0,
all,c4_assigned_radius,250,170,80,117,0,53,80,0.6882352941176471,0.0,1.0,105,16.0,
all,c32_assigned_radius,250,170,80,109,0,61,80,0.6411764705882353,0.0,1.0,94,17.0,
all,c32_union_radius,250,170,80,107,0,63,80,0.6294117647058823,0.0,1.0,91,17.0,
all,norm_only,250,170,80,103,0,67,80,0.6058823529411764,0.0,1.0,88,17.0,
all,cosine_knn20,250,170,80,3,0,167,80,0.01764705882352941,0.0,1.0,2,16.0,
all,knn_euclidean_OR_cosine,250,170,80,133,0,37,80,0.7823529411764706,0.0,1.0,125,16.0,
all,knn_euclidean_AND_cosine_latched,250,170,80,2,0,168,80,0.011764705882352941,0.0,1.0,1,21.0,
primary,v7_frozen,250,170,80,62,0,108,80,0.36470588235294116,0.0,1.0,50,19.0,
primary,v8_frozen,250,170,80,126,0,44,80,0.7411764705882353,0.0,1.0,108,17.0,
primary,v82_frozen,250,170,80,134,0,36,80,0.788235294117647,0.0,1.0,118,17.0,
primary,knn20,250,170,80,132,0,38,80,0.7764705882352941,0.0,1.0,124,16.0,
primary,c4_assigned_radius,250,170,80,117,0,53,80,0.6882352941176471,0.0,1.0,105,16.0,
primary,c32_assigned_radius,250,170,80,109,0,61,80,0.6411764705882353,0.0,1.0,94,17.0,
primary,c32_union_radius,250,170,80,107,0,63,80,0.6294117647058823,0.0,1.0,91,17.0,
primary,norm_only,250,170,80,103,0,67,80,0.6058823529411764,0.0,1.0,88,17.0,
primary,cosine_knn20,250,170,80,3,0,167,80,0.01764705882352941,0.0,1.0,2,16.0,
primary,knn_euclidean_OR_cosine,250,170,80,133,0,37,80,0.7823529411764706,0.0,1.0,125,16.0,
primary,knn_euclidean_AND_cosine_latched,250,170,80,2,0,168,80,0.011764705882352941,0.0,1.0,1,21.0,
unchanged_scene_controls,v7_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v8_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v82_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c4_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_union_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,norm_only,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,cosine_knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_OR_cosine,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,0,0,0,0,0,,,,0,,
all_pro,v7_frozen,250,170,80,62,0,108,80,0.36470588235294116,0.0,1.0,50,19.0,
all_pro,v8_frozen,250,170,80,126,0,44,80,0.7411764705882353,0.0,1.0,108,17.0,
all_pro,v82_frozen,250,170,80,134,0,36,80,0.788235294117647,0.0,1.0,118,17.0,
all_pro,knn20,250,170,80,132,0,38,80,0.7764705882352941,0.0,1.0,124,16.0,
all_pro,c4_assigned_radius,250,170,80,117,0,53,80,0.6882352941176471,0.0,1.0,105,16.0,
all_pro,c32_assigned_radius,250,170,80,109,0,61,80,0.6411764705882353,0.0,1.0,94,17.0,
all_pro,c32_union_radius,250,170,80,107,0,63,80,0.6294117647058823,0.0,1.0,91,17.0,
all_pro,norm_only,250,170,80,103,0,67,80,0.6058823529411764,0.0,1.0,88,17.0,
all_pro,cosine_knn20,250,170,80,3,0,167,80,0.01764705882352941,0.0,1.0,2,16.0,
all_pro,knn_euclidean_OR_cosine,250,170,80,133,0,37,80,0.7823529411764706,0.0,1.0,125,16.0,
all_pro,knn_euclidean_AND_cosine_latched,250,170,80,2,0,168,80,0.011764705882352941,0.0,1.0,1,21.0,
primary_pro,v7_frozen,250,170,80,62,0,108,80,0.36470588235294116,0.0,1.0,50,19.0,
primary_pro,v8_frozen,250,170,80,126,0,44,80,0.7411764705882353,0.0,1.0,108,17.0,
primary_pro,v82_frozen,250,170,80,134,0,36,80,0.788235294117647,0.0,1.0,118,17.0,
primary_pro,knn20,250,170,80,132,0,38,80,0.7764705882352941,0.0,1.0,124,16.0,
primary_pro,c4_assigned_radius,250,170,80,117,0,53,80,0.6882352941176471,0.0,1.0,105,16.0,
primary_pro,c32_assigned_radius,250,170,80,109,0,61,80,0.6411764705882353,0.0,1.0,94,17.0,
primary_pro,c32_union_radius,250,170,80,107,0,63,80,0.6294117647058823,0.0,1.0,91,17.0,
primary_pro,norm_only,250,170,80,103,0,67,80,0.6058823529411764,0.0,1.0,88,17.0,
primary_pro,cosine_knn20,250,170,80,3,0,167,80,0.01764705882352941,0.0,1.0,2,16.0,
primary_pro,knn_euclidean_OR_cosine,250,170,80,133,0,37,80,0.7823529411764706,0.0,1.0,125,16.0,
primary_pro,knn_euclidean_AND_cosine_latched,250,170,80,2,0,168,80,0.011764705882352941,0.0,1.0,1,21.0,
